domain,tld,status,description,ollama_country,final_country,processed_at
https://www.webergmbh.de/.com,com,EVIDENCE,Company: https://www.webergmbh.de/. Entry ID: 3339,Germany,Germany,2025-10-21T10:15:35.743311
https://www.gwpengineering.com/.com,com,EVIDENCE,Company: https://www.gwpengineering.com/. Entry ID: 10487. Action Date: 23/08/2025,United States,United States,2025-10-21T10:15:36.351779
https://www.weberflavors.com/.com,com,EVIDENCE,Company: https://www.weberflavors.com/. Entry ID: 10172. Action Date: 15/08/2025,United States,United States,2025-10-21T10:15:36.800981
https://plainviewfd.org/.com,com,EVIDENCE,Company: https://plainviewfd.org/. Entry ID: 11146. Action Date: 10/08/2025,United States,United States,2025-10-21T10:15:37.226779
https://www.m8retail.com.com,com,EVIDENCE,Company: https://www.m8retail.com. Entry ID: 20046. Action Date: 10/08/2025,United States,United States,2025-10-21T10:15:38.390611
https://cosmetics.gr.com,com,EVIDENCE,Company: https://Cosmetics.gr. Entry ID: 26412. Action Date: 06/08/2025,Greece,Greece,2025-10-21T10:15:39.609740
https://www.gpoa.com.com,com,EVIDENCE,Company: https://www.gpoa.com. Entry ID: 29018. Action Date: 10/08/2025,unknown,United States,2025-10-21T10:15:40.054562
https://www.maxell.com.hk.com,com,EVIDENCE,Company: https://www.maxell.com.hk. Entry ID: 29732. Action Date: 21/07/2025,Hong Kong,Hong Kong,2025-10-21T10:15:40.594028
https//www.eucsj.dk/.com,com,DISCLOSED,Company: https //www.eucsj.dk/. Entry ID: 68851. Action Date: 19/04/2025,Denmark,Denmark,2025-10-21T10:15:41.078209
https//www.vinda.com/.com,com,EVIDENCE,Company: https //www.vinda.com/. Entry ID: 73053. Action Date: 16/05/2025,unknown,United States,2025-10-21T10:15:41.615716
https://www.tseltd.com/.com,com,EVIDENCE,Company: https://www.tseltd.com/. Entry ID: 82395. Action Date: 21/04/2025,United States,United States,2025-10-21T10:15:42.833107
https://triple-jump.com/.com,com,EVIDENCE,Company: https://triple-jump.com/. Entry ID: 83722. Action Date: 10/04/2025,unknown,United States,2025-10-21T10:15:43.383680
https://www.jemeppe-sur-sambre.be.com,com,EVIDENCE,Company: https://www.jemeppe-sur-sambre.be. Entry ID: 90062. Action Date: 21/04/2025,Belgium,Belgium,2025-10-21T10:15:43.847126
https://www.oettinger-bier.de.com,com,EVIDENCE,Company: https://www.oettinger-bier.de. Entry ID: 83623. Action Date: 19/04/2025,Germany,Germany,2025-10-21T10:15:44.338791
https://www.imedexsa.es/.com,com,DISCLOSED,Company: https://www.imedexsa.es/. Entry ID: 92318. Action Date: 21/04/2025,Spain,Spain,2025-10-21T10:15:44.813015
