domain,company_name,tld,status,description,date,ollama_country,final_country,processed_at
integrasap.com,Integra SAP,com,breached,"Integra SAP helps businesses solve tough financial challenges. They work with companies to boost cash flow, increase sales performance, and get real-time busine...",2025-10-20,unknown,Unknown,2025-10-21T10:01:21.614262
egaraset.com,Egaraset,com,breached,Egaraset specializes in providing adaptable and flexible IT solutions tailored for small and medium enterprises (SMEs) and religious congregations. With over 20...,2025-10-20,unknown,Unknown,2025-10-21T10:01:22.037361
marmotech.com,Marmotech,com,breached,"It owns and manages eight quarries that include marble, travertine, limestone and coralline stones that are processed with state-of-the-art European technology....",2025-10-18,unknown,Unknown,2025-10-21T10:01:22.534105
dentalsocietyoflaplata.com,Dental Society of La Plata,com,breached,"The Sociedad Odontológica de La Plata (SOLP) is an organization focused on the promotion and advancement of dentistry through education, research, and community...",2025-10-17,Argentina,Argentina,2025-10-21T10:01:22.979903
gardinerssolicitors.com,gardiners solicitors,com,breached,"We are a small firm of solicitors based in West Kensington, close to Olympia, established in 1997 by Paul Gardiner. We specialise in: - Property - Shared Owner...",2025-10-17,United Kingdom,United Kingdom,2025-10-21T10:01:23.375128
josgumasa.com,José Guma S.A.,com,breached,"José Guma S.A. Occupation: production of household chemicals and hygiene products (soap, cleaning products) + contract manufacturing for third-party brands. L...",2025-10-16,unknown,Unknown,2025-10-21T10:01:23.885780
thelawofficesofmichaelcgeorge.com,The Law Offices of Michael C George,com,breached,"The Law Office of Michael C. George, P.A. specializes in personal injury and criminal law, providing legal representation for clients throughout Florida who hav...",2025-10-14,USA,USA,2025-10-21T10:01:24.232007
autorotor.com,Autorotor,com,breached,"Autorotor builds custom machinery for factories and manufacturing plants. They make rotating tables, transport belts, rings, and robotic handling equipment that...",2025-10-14,unknown,Unknown,2025-10-21T10:01:24.700969
fountainscondominiumoperations.com,Fountains Condominium Operations,com,breached,"Fountains Condominium Operations Inc. is an in-house management company dedicated to ensuring the beauty, safety, and stability of the area, promoting neighborl...",2025-10-13,unknown,Unknown,2025-10-21T10:01:25.036884
expresslogisticsanddistributionltd.com,Express Logistics and Distribution Ltd,com,breached,We expect Express Logistics and Distribution Ltd to contact us to prevent the publication of a large volume of private data over many years. Express Logistics a...,2025-10-11,unknown,Unknown,2025-10-21T10:01:26.023510
downes.com,Downes,com,breached,"Proudly managing FMCG brands for over 35 years. With over 94% coverage of the major grocery retailers, Downes services Woolworths, Coles, Independent Supermark...",2025-10-10,Australia,Australia,2025-10-21T10:01:26.442446
