domain,tld,status,description,ollama_country,final_country,processed_at
jackpotjunction.com,com,published,"Cash in on big wins this tax season! Every hour from 5 - 9 pm, one lucky winner will snag $1,040 in CASH or Free Play! Earn just 25 points, print your voucher at a kiosk, and drop it in the drawing barrel for your shot at a hefty payout! 64242",unknown,United States,2025-10-20T15:41:22.511617
acimfunds.com,com,published,"Managing capital on behalf of institutional investors, family offices, and high net worth individuals. We focus on niche commodities strategies with an emphasis on the energy transition. 63850",unknown,United States,2025-10-20T15:41:22.944543
tuttoperlufficio.eu,eu,published,"E' definito molto più di un registratore di cassa. Nettun@ 3000 Touch Olivetti effettivamente concede agli esercenti una serie di opportunità che altri prodotti, ugualmente moderni e originali, non offrono. Il suo design innovativo, le dimensioni com... 64082 aqhch.com.cn published Heng Chang Machinery Co., Ltd (HCH), founded in 1988, is a leading world-class professional manufacturer of complete production lines for disposable hygiene products. 66233",Italy,Italy,2025-10-20T15:41:24.242210
ende.bo,bo,published,"Greetings! Today we are posting here the new company, ""Empresa Nacional de Electricidad"". Company Description: The National Electricity Company (ENDE) is a corporation of the Plurinational State, whose main objective and strategic role is to pa... 82872 aeamg.org.br published Greetings! Today we are posting here the new company, ""AEA-MG"". Company Description: AEA-MG (Association of Electricians and Employees of CEMIG and its Subsidiaries) was founded on 29 January 1983 by a group of electricians who recognized the n... 53142",Bolivia,Bolivia,2025-10-20T15:41:24.977948
visionproducts.llc,llc,published,"Sed ultricies, diam et lacinia dapibus, diam dui semper nisl, ut dignissim diam lacus nec purus. In vitae volutpat velit, vitae rutrum enim. Ut tincidunt facilisis urna, eget dictum enim tincidunt vel. Fusce vestibulum sagittis augue, sed egestas era... 48541",unknown,Unknown (llc),2025-10-20T15:41:25.527755
physiciansmedicalbilling.net,net,published,"Greetings! Today we are posting here the new company, ""Physician's Medical Billing Inc"". Company Description: Physicians Medical Billing (PMB) is a full-service medical billing and accounts receivable management firm, whose true goal is maximum... 53656",United States,United States,2025-10-20T15:41:26.026973
crystal-d.com,com,published,"At Crystal D, we have been manufacturing corporate gifts, recognition awards and crystal promotional products for more than 20 years. 50351",unknown,United States,2025-10-20T15:41:26.442645
asiapacificex.com,com,published,"employee documents(CEO included), corporate emails, finance, HR and many more! In case you cant find readme file: have a look at OBS cloud share: obs://apex-om-fileshare or obs://apex-private-img 51584",Unknown,United States,2025-10-20T15:41:26.926058
graphiquedefrance.com,com,published,"Shop our Lifestyle & Gift Boutique for Designer Stationery, Journals, Planners, Calendars, Holiday, Home Decor, Greeting Cards, Gifts & beyond! Fashion Your Life with Graphique! 50900 grupotersa.com.mx published Greetings! Today we are posting here the new company, ""Grupo TERSA"". Company Description: Grupo TERSA was born from the dream of our Chairman and Founder Rodrigo Valle Hernández in 1982, which has now become the dream of a great team of workers... 55955 essenzamovies.com.br published Greetings! Today we are posting here the new company, ""ESSENZA DESING INDUSTRIA DE MOVIES LTDA"". Company Description: Essenza was founded in 2001 in the Serra Gaúcha region of Rio Grande do Sul, an important furniture hub in Brazil. Together wi... 73221 unila.edu.mx published Greetings! Today we are posting here the new company, ""UNILA SA DE CV"". Company Description: Universidad Latina is constantly advancing towards excellence and institutional accreditation, improving its physical and technological infrastructure... 69183",unknown,United States,2025-10-20T15:41:27.840779
ossc.mx,mx,published,"Greetings! Today we are posting here the new company, ""OSSC Mexico"". Company Description: In 2008, OSSC was created with a base of experts who already had more than ten years of experience in developing GIRO payroll software. Headquarters:... 73835",Mexico,Mexico,2025-10-20T15:41:28.349621
