domain,tld,status,description,ollama_country,final_country,processed_at
twl.de,de,published,-,Germany,Germany,2025-10-21 10:08:04
planatol.de,de,published,-,Germany,Germany,2025-10-21 10:08:04
amey.co.uk,uk,published,-,United Kingdom,United Kingdom,2025-10-21 10:08:04
the7stars.co.uk,uk,published,-,United Kingdom,United Kingdom,2025-10-21 10:08:04
eagle.org,org,published,-,United States,United States,2025-10-21 10:08:04
transport.nsw.gov.au,au,published,-,Australia,Australia,2025-10-21 10:08:04
csagroup.org,org,published,-,United States,United States,2025-10-21 10:08:04
yu.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
umd.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
universityofcalifornia.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
durham.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
siumed.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
rff.org,org,published,-,United States,United States,2025-10-21 10:08:04
nft.co.uk,uk,published,-,United Kingdom,United Kingdom,2025-10-21 10:08:04
parkland.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
colorado.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
miami.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
stanford.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
zucchettikos.it,it,published,-,Italy,Italy,2025-10-21 10:08:04
storafile.co.uk,uk,published,-,United Kingdom,United Kingdom,2025-10-21 10:08:04
muschert-gierse.de,de,published,-,Germany,Germany,2025-10-21 10:08:04
south-staffs-water.co.uk,uk,published,-,United Kingdom,United Kingdom,2025-10-21 10:08:04
loeschgroup.de,de,published,-,Germany,Germany,2025-10-21 10:08:04
orderexpress.com.mx,mx,published,-,Mexico,Mexico,2025-10-21 10:08:04
unisalle.edu.co,co,published,-,Colombia,Colombia,2025-10-21 10:08:04
nycbar.org,org,published,-,United States,United States,2025-10-21 10:08:04
sae.org,org,published,-,United States,United States,2025-10-21 10:08:04
servicestream.com.au,au,published,-,Australia,Australia,2025-10-21 10:08:04
jaymart.co.th,th,published,-,Thailand,Thailand,2025-10-21 10:08:04
lasotel.fr,fr,published,-,France,France,2025-10-21 10:08:04
ppf.co.uk,uk,published,-,United Kingdom,United Kingdom,2025-10-21 10:08:04
hrtransit.org,org,published,-,United States,United States,2025-10-21 10:08:04
ttbh.org,org,published,-,United States,United States,2025-10-21 10:08:04
wvi.org,org,published,-,United States,United States,2025-10-21 10:08:04
chemilab.com.co,co,published,-,Colombia,Colombia,2025-10-21 10:08:04
gray.tv,tv,published,-,Unknown,Unknown,2025-10-21 10:08:04
legacy-technologies.de,de,published,-,Germany,Germany,2025-10-21 10:08:04
solpac.co.jp,jp,published,-,Japan,Japan,2025-10-21 10:08:04
vumacam.co.za,za,published,-,South Africa,South Africa,2025-10-21 10:08:04
phoenix.tech,tech,published,-,Unknown,Unknown,2025-10-21 10:08:04
bridgeway.com.ph,ph,published,-,Philippines,Philippines,2025-10-21 10:08:04
crownresort.com.au,au,published,-,Australia,Australia,2025-10-21 10:08:04
unimelb.edu.au,au,published,-,Australia,Australia,2025-10-21 10:08:04
derk.cl,cl,published,-,Chile,Chile,2025-10-21 10:08:04
hci.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
globalfarm.com.ar,ar,published,-,Argentina,Argentina,2025-10-21 10:08:04
michener.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
goa.gov.in,in,published,-,India,India,2025-10-21 10:08:04
alto.us,us,published,-,United States,United States,2025-10-21 10:08:04
detech.com.tr,tr,published,-,Turkey,Turkey,2025-10-21 10:08:04
oekk.ch,ch,published,-,Switzerland,Switzerland,2025-10-21 10:08:04
spi.co.za,za,published,-,South Africa,South Africa,2025-10-21 10:08:04
intellicare.com.ph,ph,published,-,Philippines,Philippines,2025-10-21 10:08:04
uga.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
tas.gov.au,au,published,-,Australia,Australia,2025-10-21 10:08:04
cajasanrafael.com.mx,mx,published,-,Mexico,Mexico,2025-10-21 10:08:04
navaxx.lu,lu,published,-,Unknown,Unknown,2025-10-21 10:08:04
acenursing.org,org,published,-,United States,United States,2025-10-21 10:08:04
genericon.at,at,published,-,Austria,Austria,2025-10-21 10:08:04
brault.us,us,published,-,United States,United States,2025-10-21 10:08:04
aplusfcu.org,org,published,-,United States,United States,2025-10-21 10:08:04
powerfi.org,org,published,-,United States,United States,2025-10-21 10:08:04
pragroup.no,no,published,-,Norway,Norway,2025-10-21 10:08:04
umsystem.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
clicksgroup.co.za,za,published,-,South Africa,South Africa,2025-10-21 10:08:04
tdecu.org,org,published,-,United States,United States,2025-10-21 10:08:04
unitedregional.org,org,published,-,United States,United States,2025-10-21 10:08:04
kyburzdruck.ch,ch,published,-,Switzerland,Switzerland,2025-10-21 10:08:04
scu.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
zurich.com.br,br,published,-,Brazil,Brazil,2025-10-21 10:08:04
ucla.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
quorumfcu.org,org,published,-,United States,United States,2025-10-21 10:08:04
l8solutions.co.uk,uk,published,-,United Kingdom,United Kingdom,2025-10-21 10:08:04
uoflhealth.org,org,published,-,United States,United States,2025-10-21 10:08:04
usg.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
fmfcu.org,org,published,-,United States,United States,2025-10-21 10:08:04
jhu.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
visionware.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
umassmed.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
vrm.de,de,published,-,Germany,Germany,2025-10-21 10:08:04
sma.de,de,published,-,Germany,Germany,2025-10-21 10:08:04
bam.com.gt,gt,published,-,Guatemala,Guatemala,2025-10-21 10:08:04
gripa.org,org,published,-,United States,United States,2025-10-21 10:08:04
rochester.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
yakult.com.ph,ph,published,-,Philippines,Philippines,2025-10-21 10:08:04
ufcu.org,org,published,-,United States,United States,2025-10-21 10:08:04
fmgl.com.au,au,published,-,Australia,Australia,2025-10-21 10:08:04
dma.us,us,published,-,United States,United States,2025-10-21 10:08:04
orau.org,org,published,-,United States,United States,2025-10-21 10:08:04
amf.se,se,published,-,Sweden,Sweden,2025-10-21 10:08:04
drydocks.gov.ae,ae,published,-,United Arab Emirates,United Arab Emirates,2025-10-21 10:08:04
qbits.ch,ch,published,-,Switzerland,Switzerland,2025-10-21 10:08:04
cap.org,org,published,-,United States,United States,2025-10-21 10:08:04
chevronfcu.org,org,published,-,United States,United States,2025-10-21 10:08:04
mcw.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
sleepcountry.ca,ca,published,-,Canada,Canada,2025-10-21 10:08:04
txwes.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
toyota-boshoku.be,be,published,-,Belgium,Belgium,2025-10-21 10:08:04
nccu.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
siu.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
peddie.org,org,published,-,United States,United States,2025-10-21 10:08:04
thaisummit.us,us,published,-,United States,United States,2025-10-21 10:08:04
sjcme.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
softtech.nl,nl,published,-,Netherlands,Netherlands,2025-10-21 10:08:04
alohacare.org,org,published,-,United States,United States,2025-10-21 10:08:04
synlab.fr,fr,published,-,France,France,2025-10-21 10:08:04
infinigate.ch,ch,published,-,Switzerland,Switzerland,2025-10-21 10:08:04
infinigate.co.uk,uk,published,-,United Kingdom,United Kingdom,2025-10-21 10:08:04
cced.com.om,om,published,-,Oman,Oman,2025-10-21 10:08:04
saul.org.uk,uk,published,-,United Kingdom,United Kingdom,2025-10-21 10:08:04
dataengine.eu,eu,published,-,Unknown,Unknown,2025-10-21 10:08:04
sherman.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
morrisgroup.co,co,published,-,Colombia,Colombia,2025-10-21 10:08:04
centric.eu,eu,published,-,Unknown,Unknown,2025-10-21 10:08:04
pispl.in,in,published,-,India,India,2025-10-21 10:08:04
cps.edu,edu,published,-,United States,United States,2025-10-21 10:08:04
steelblue.com.au,au,published,-,Australia,Australia,2025-10-21 10:08:04
c3group.nl,nl,published,-,Netherlands,Netherlands,2025-10-21 10:08:04
