"Country Name","Country Code","Indicator Name", 2024
"Tuvalu","TUV","Population, total",9646
"Nauru","NRU","Population, total",11947
"Palau","PLW","Population, total",17695
"St. Martin (French part)","MAF","Population, total",26129
"San Marino","SMR","Population, total",33977
"Gibraltar","GIB","Population, total",39329
"Marshall Islands","MHL","Population, total",37548
"Monaco","MCO","Population, total",38631
"British Virgin Islands","VGB","Population, total",39471
"Liechtenstein","LIE","Population, total",40197
"Sint Maarten (Dutch part)","SXM","Population, total",43350
"Northern Mariana Islands","MNP","Population, total",44278
"Turks and Caicos Islands","TCA","Population, total",46535
"St. Kitts and Nevis","KNA","Population, total",46843
"American Samoa","ASM","Population, total",46765
"Faroe Islands","FRO","Population, total",54719
"Greenland","GRL","Population, total",56836
"Bermuda","BMU","Population, total",64636
"Dominica","DMA","Population, total",66205
"Cayman Islands","CYM","Population, total",74457
"Andorra","AND","Population, total",81938
"Isle of Man","IMN","Population, total",84160
"Antigua and Barbuda","ATG","Population, total",93772
"St. Vincent and the Grenadines","VCT","Population, total",100616
"Tonga","TON","Population, total",104175
"Virgin Islands (U.S.)","VIR","Population, total","104377"
"Aruba","ABW","Population, total",107624
"Micronesia, Fed. Sts.","FSM","Population, total",113160
"Grenada","GRD","Population, total",117207
"Seychelles","SYC","Population, total",121354
"Kiribati","KIR","Population, total",134518
"Curacao","CUW","Population, total",155900
"Guam","GUM","Population, total",167777
"Channel Islands","CHI","Population, total",168126
"St. Lucia","LCA","Population, total",179744
"Samoa","WSM","Population, total",218019
"Sao Tome and Principe","STP","Population, total",235536
"French Polynesia","PYF","Population, total",281807
"Barbados","BRB","Population, total",282467
"New Caledonia","NCL","Population, total",292639
"Vanuatu","VUT","Population, total",327777
"Iceland","ISL","Population, total",404610
"Bahamas, The","BHS","Population, total",401283
"Belize","BLZ","Population, total",417072
"Brunei Darussalam","BRN","Population, total",462721
"Cabo Verde","CPV","Population, total",524877
"Maldives","MDV","Population, total",527799
"Malta","MLT","Population, total",574346
"Montenegro","MNE","Population, total",623831
"Suriname","SUR","Population, total",634431
"Luxembourg","LUX","Population, total",677717
"Macao SAR, China","MAC","Population, total",687000
"Bhutan","BTN","Population, total",791524
"Solomon Islands","SLB","Population, total",819198
"Guyana","GUY","Population, total",831087
"Comoros","COM","Population, total",866628
"Fiji","FJI","Population, total",928784
"Djibouti","DJI","Population, total",1168722
"Eswatini","SWZ","Population, total",1242822
"Mauritius","MUS","Population, total",1259509
"Cyprus","CYP","Population, total",1358282
"Trinidad and Tobago","TTO","Population, total",1368333
"Estonia","EST","Population, total",1371986
"Timor-Leste","TLS","Population, total",1400638
"Bahrain","BHR","Population, total",1588670
"Kosovo","XKX","Population, total",1527324
"North Macedonia","MKD","Population, total",1792179
"Equatorial Guinea","GNQ","Population, total",1892516
"Latvia","LVA","Population, total",1862441
"Slovenia","SVN","Population, total",2126324
"Guinea-Bissau","GNB","Population, total",2201352
"Lesotho","LSO","Population, total",2337423
"Moldova","MDA","Population, total",2389275
"Botswana","BWA","Population, total",2521139
