domain,tld,status,description,ollama_country,final_country,processed_at,company_name,date,source,location
bun.nl,nl,leaked,"Bun creëert woon-, werk- en leefruimte voor iedereen en van de beste kwaliteit. Wij spelen in op zaken die leven in de maatschappij. De behoefte hierin aan woningen in is groot. Daarom houden wij ons bezig met de ontwikkeling en het renoveren van",Netherlands,Netherlands,2025-10-21T08:43:33.583920,,,,
hsjlawyers.com,com,leaked,"Founded in 1971, HSJ Lawyers is a prominent law firm located in Prince George, British Columbia, serving the legal needs of clients throughout Northern BC. With a team of 15 lawyers and 25 staff members, the firm specializes in various areas inclu",Canada,Canada,2025-10-21T08:43:33.929452,,,,
austinplasticandreconstructivesurgery.com,com,leaked,"Austin Plastic Reconstructive Surgery, led by Board-Certified Plastic Surgeon Dr. Christine Fisher, specializes in breast reconstruction and a variety of cosmetic surgery procedures. The clinic caters to individuals seeking to enhance their beauty",United States,United States,2025-10-21T08:43:34.263124,,,,
curedentalbeltontx.com,com,leaked,"Cure Dental is a company that operates in the Dental Offices industry. It employs 10to19 people and has 1Mto5M of revenue. The company is headquartered in Belton, Texas.",United States,United States,2025-10-21T08:43:34.647592,,,,
townofnorwell.net,net,leaked,"The Town of Norwell MA offers a variety of municipal services including animal control, building permits, health clinics, and recreational programs. It serves the residents of Norwell by ensuring public safety, facilitating community events, and p",United States,United States,2025-10-21T08:43:34.962286,,,,
sequoiadental.com,com,leaked,"Sequoia Dental Office provides a wide range of dental services including general, cosmetic, orthodontic, and restorative dentistry. Located in Visalia, CA, they are dedicated to patient comfort and use advanced technology to enhance care, offering",United States,United States,2025-10-21T08:43:35.331278,,,,
wyomingcountyny.gov,gov,leaked,"Wyoming County provides various government services to its residents, including job opportunities, economic development initiatives, and electronic forms for managing county affairs. The county actively organizes community events, such as pop-up f",United States,United States,2025-10-21T08:43:36.261804,,,,
gosvt.com,com,leaked,"SVT specializes in designing, engineering, commissioning, and servicing turn-key commercial audio/video systems including IT, audio/video distribution, digital signage, surveillance & security, broadcasting and a host of other technology systems.",Sweden,Sweden,2025-10-21T08:43:36.622814,,,,
neffendorfblockercpa.com,com,leaked,"Neffendorf & Blocker, PC is a full-service, licensed accounting firm operating in the Texas Hill Country. We bring personal attention and care to our work with each of our clients. We value your privacy very highly. Please read this Privacy Policy",United States,United States,2025-10-21T08:43:36.950913,,,,
jastreet.com,com,leaked,J.A. Street & Associates is one of the most respected General Contracting firms in Northeast Tennessee and Southwest Virginia. The company has grown over the years by providing our clients with the best fully-integrated service available and have,United States,United States,2025-10-21T08:43:37.292762,,,,
icmtx.com,com,leaked,"TICM specializes in designing and building control panels. That is our focus and our expertise. This allows us to meet deadlines, provide competitive pricing, and provide panels that truly meet the needs of the customer. We understand what is invo",unknown,United States,2025-10-21T08:43:37.734488,,,,
dbhcares.com,com,leaked,"Desert Behavioral Health (DBH) was founded in 2009 based on the Bio-Psycho-Social integrated mental health services model. In the past years, DBH has provided outpatients mental health services for thousands of clients in Southern Nevada. Desert",United States,United States,2025-10-21T08:43:38.117918,,,,
icgad.com,com,leaked,"Interstate Commercial Glass and Door, Inc. is a glass and glazing subcontractor serving primarily Northwest Ohio and Southeast Michigan, specializing in new builds and renovations for schools, hospitals, and office buildings. With over 18 years of",United States,United States,2025-10-21T08:43:38.452484,,,,
iss-na.com,com,leaked,"Founded in 2007. Industrial Service Solutions is headquartered in Houston, Texas. Industrial Service Solutions processes equipment across a set of industrial markets and servicing and inspections.",United States,United States,2025-10-21T08:43:38.855958,,,,
kkp.law,law,leaked,"Our team at KKP stands for competent, creative and personal solutions. We are highly motivated, client-oriented and efficient. Our lawyers are specialists in their field of expertise and work independently and reliably with a high degree of busine",unknown,Unknown (law),2025-10-21T08:43:39.296347,,,,
sehma.com,com,leaked,"SEHMA is a Home Health Care provider network specializing in Home Health Nursing, Hi Tech Infusion, Durable Medical Equipment and Diagnostic Services. SEHMA companies provide an impeccable continuity of care with excellent patient outcomes. SEHMA",United States,United States,2025-10-21T08:43:39.669462,,,,
leonardo.com,com,leaked,"Leonardo is a global aerospace, defense, and security company providing helicopters, security electronics, aeronautics, and space defense systems. The company was founded in 1948 and is headquartered in Rome, Italy.",Italy,Italy,2025-10-21T08:43:40.030280,,,,
corehandf.com,com,leaked,"Soitin Laine - Luotettavaa soitinkauppaa jo vuodesta 1931 Meiltä löydät kaikki tarvittavat soittimet, nuotit, tarvikkeet sekä äänen taltioimiseen tarvittavat laitteet. Osta verkosta tai tule asioimaan myymäläämme Turkuun tai Helsinkiin.",Finland,Finland,2025-10-21T08:43:40.451180,,,,
soitinlaine.fi,fi,leaked,"Soitin Laine - Luotettavaa soitinkauppaa jo vuodesta 1931 Meiltä löydät kaikki tarvittavat soittimet, nuotit, tarvikkeet sekä äänen taltioimiseen tarvittavat laitteet. Osta verkosta tai tule asioimaan myymäläämme Turkuun tai Helsinkiin.",Finland,Finland,2025-10-21T08:43:40.900175,,,,
anwsd.org,org,leaked,"Our district is comprised of Vergennes Union Elementary School (K-6), Ferrisburgh Central School (K-6), Addison Central School (K-6) and Vergennes Union High School (7-12). We are conveniently located between Burlington and Middlebury communities",United States,United States,2025-10-21T08:43:41.253955,,,,
hapsch.de,de,leaked,The clinic of a Schulstrasse family doctor who apparently doesn't care about his patients.,Germany,Germany,2025-10-21T08:43:41.635833,,,,
kuritaamerica.com,com,leaked,"Mid-States Industrial, Incorporated was founded in 1992 with the objective of providing quality tank repair paired with specialized in-house engineering services. For over 30 years, Mid-States has provided industrial maintenance, repair, and new c",United States,United States,2025-10-21T08:43:42.041814,,,,
thecsi.com,com,leaked,"CSI is a product lifecycle management company based in Scarborough, Ontario. CSI is ISO 9001:2015 + TL 9000 - V R6.0/ R5.5 Certified. CSI specializes in Smart City technology, IoT and have a state-of-the-art data storage facility in Scarborough, C",Canada,Canada,2025-10-21T08:43:42.453334,,,,
pharrusa.com,com,leaked,"Headquartered in McAdenville, North Carolina, Pharr Yarns is one of the most diversified sales yarn manufacturers in the world. We serve our diversified global customer base from offices across the United States and Europe. Our US operations inclu",United States,United States,2025-10-21T08:43:42.859049,,,,
midstatesindustrial.com,com,leaked,"Mid-States Industrial, Incorporated was founded in 1992 with the objective of providing quality tank repair paired with specialized in-house engineering services. For over 30 years, Mid-States has provided industrial maintenance, repair, and new c",United States,United States,2025-10-21T08:43:43.194955,,,,
anuenterprise.com.au,au,leaked,"ANU Enterprise works behind the scenes to maximise the impact of research findings of the Australian National University, on the world. We enable researchers to generate and deliver consulting, contract research and executive education projects. F",Australia,Australia,2025-10-21T08:43:43.572890,,,,
caillau.com.br,br,leaked,"Desde o início do século XXI, a Caillau tem oferecido ao mercado a síntese perfeita das palavras “Historical Expertise”, além das recentes mudanças implementadas com sucesso, tanto na entrada de novos acionistas como nas áreas de: Administração. O",Brazil,Brazil,2025-10-21T08:43:44.005823,,,,
sandray.com,com,leaked,"Sandray Precision Grinding Inc is located in Rockford, Illinois and has served the Midwest region for 50 years of grinding experience. Sandray Precision Grinding Inc operates in 2 buildings with 34,000 square feet and has a wide variety of grindin",United States,United States,2025-10-21T08:43:44.387245,,,,
