domain,tld,status,description,date,source,location,ollama_country,final_country,processed_at
Niemi LaPorte & Dowle Appraisals,canada,READ_,Welcome to the real Vancouver.,Apr-25-2025 19:44,WikileaksV2,Canada,Canada,Canada,2025-10-21T10:11:58.825644
Renmark Financial Communications Inc.,canada,READ_,A little piece of truth in a dirty and hidden business.,Apr-25-2025 19:35,WikileaksV2,Canada,Canada,Canada,2025-10-21T10:11:59.167684
Bulverde Glass,tx usa,READ_,A catastrophic failure to respect personal data,Apr-25-2025 19:10,WikileaksV2,TX USA,USA,USA,2025-10-21T10:11:59.552382
F.TECH R&D NORTH AMERICA INC,japan,READ_,The black sheep of a global corporation,Apr-25-2025 19:05,WikileaksV2,JAPAN,Japan,Japan,2025-10-21T10:11:59.897949
City of West Haven,ct usa,READ_,New details on the million-dollar theft,Apr-25-2025 18:57,WikileaksV2,CT USA,USA,USA,2025-10-21T10:12:00.264894
Erie Management Group,pa usa,READ_,Narco-Empire and Family Tragedy: How to Destroy the Legacy of Your Ancestors,Apr-25-2025 18:37,WikileaksV2,PA USA,USA,USA,2025-10-21T10:12:00.600627
TJKM,ca usa,READ_,Traffic jam planning,Apr-25-2025 18:24,WikileaksV2,CA USA,USA,USA,2025-10-21T10:12:00.973170
SMA Inc.,ca usa,READ_,Successful relic of the Cold War,Apr-25-2025 18:10,WikileaksV2,CA USA,USA,USA,2025-10-21T10:12:01.346121
MLTMUA,nj usa,READ_,The Hidden Dangers Beneath New Jersey’s Surface,Apr-25-2025 18:00,WikileaksV2,NJ USA,USA,USA,2025-10-21T10:12:01.735756
Welker Engineered Products,mi usa,READ_,A Small Supplier to Giants.,Apr-25-2025 17:42,WikileaksV2,MI USA,USA,USA,2025-10-21T10:12:02.143320
Valu-Trac Investment Management,uk,READ_,A Million Business in the Boonies,Apr-25-2025 17:35,WikileaksV2,UK,UK,UK,2025-10-21T10:12:02.471720
United Animal Health,in usa,READ_,We will control these pigs!,Apr-15-2025 13:40,WikileaksV2,IN USA,USA,USA,2025-10-21T10:12:02.903426
Town of Whitestown,ny usa,READ_,How the Left is Erasing the Nation’s History and Culture,Apr-14-2025 19:48,WikileaksV2,NY USA,USA,USA,2025-10-21T10:12:03.178316
Super Vacuum Manufacturing,co usa,READ_,No Longer the World’s Leading Ventilation Equipment Manufacturer,Apr-14-2025 17:09,WikileaksV2,CO USA,USA,USA,2025-10-21T10:12:03.551123
Ministry of Foreign Affairs of Ukraine,unknown,READ_,Global leak in MFA takes a blow to the country's reputation,Mar-07-2025 12:33,WikileaksV2,unknown,Ukraine,Ukraine,2025-10-21T10:12:03.965136
The Law Offices of Jed Silverman,tx usa,READ_,The dirty secrets of a sheriff,Mar-06-2025 11:59,WikileaksV2,TX USA,USA,USA,2025-10-21T10:12:04.301773
"Spectrum Solutions, Inc",al usa,READ_,The shame and disgrace of cybersecurity,Mar-04-2025 11:20,WikileaksV2,AL USA,USA,USA,2025-10-21T10:12:04.587420
Robson Planning Group,ga usa,READ_,Definitely no the “right” answer to the financial challenges,Mar-02-2025 19:43,WikileaksV2,GA USA,USA,USA,2025-10-21T10:12:04.942350
Pleasants Construction,md usa,READ_,Unfixable pothole,Mar-02-2025 16:33,WikileaksV2,MD USA,USA,USA,2025-10-21T10:12:05.290062
Company Groupe PPA-Mahe,fr,READ_,The Naked Truth of the Fashion Industry,Feb-28-2025 15:59,WikileaksV2,FR,France,France,2025-10-21T10:12:05.619403
LaMear & Rapert,mo usa,READ_,Critical Tax Error,Feb-28-2025 13:22,WikileaksV2,MO USA,USA,USA,2025-10-21T10:12:05.967271
Keller Williams Group,usa,READ_,We Buy and Rent People,Feb-21-2025 16:17,WikileaksV2,USA,USA,USA,2025-10-21T10:12:06.313135
IDN Global,usa,READ_,They DO NOT make security simple,Feb-21-2025 14:23,WikileaksV2,USA,USA,USA,2025-10-21T10:12:06.662499
HEXPOL COMPOUNDING AMERICAS,usa,READ_,A Growing Threat to Global Operations,Feb-20-2025 12:24,WikileaksV2,USA,USA,USA,2025-10-21T10:12:06.997557
Fleet Landing,fl usa,READ_,Hate and violence in a nursing home.,Feb-12-2025 12:47,WikileaksV2,FL USA,USA,USA,2025-10-21T10:12:07.279637
